epoch,pos_train_loss,neg_train_loss,pos_test_loss,neg_test_loss,pos_train_acc,neg_train_acc,pos_test_acc,neg_test_acc
37,0.6939878726875635,0.6923073356936125,0.6939878726875751,0.6923073356936091,0.0,1.0,0.0,1.0
38,0.6934976964504576,0.692796812041116,0.6934976964504652,0.6927968120411087,0.0,1.0,0.0,1.0
39,0.6940948280905329,0.6922006094484985,0.694094828090517,0.6922006094485187,0.0,1.0,0.0,1.0
40,0.6937704424515303,0.6925243844664509,0.6937704424515508,0.6925243844664664,0.0,1.0,0.0,1.0
41,0.6933980534945259,0.6928963831273038,0.6933980534945182,0.6928963831273196,0.0,1.0,0.0,1.0
42,0.6937582602522471,0.69253654864142,0.6937582602522381,0.6925365486414105,0.0,1.0,0.0,1.0
43,0.6934090414708577,0.6928854019085904,0.6934090414708332,0.6928854019085702,0.0,1.0,0.0,1.0
44,0.6935148546248011,0.6927796686446468,0.6935148546247937,0.6927796686446217,0.0,1.0,0.0,1.0
45,0.6928977801574943,0.6933966556254284,0.6928977801574692,0.693396655625438,1.0,0.0,1.0,0.0
46,0.6934801488017701,0.6928143453063809,0.6934801488017814,0.6928143453063993,0.0,1.0,0.0,1.0
47,0.6936304685111737,0.6926641727269557,0.6936304685111738,0.6926641727269678,0.0,1.0,0.0,1.0
48,0.6937982880290224,0.6924965814228923,0.6937982880290049,0.6924965814228768,0.0,1.0,0.0,1.0
49,0.6933048614954703,0.6929895294547129,0.6933048614954772,0.6929895294547034,0.0,1.0,0.0,1.0
50,0.6929529635568769,0.6933414428378694,0.6929529635568762,0.6933414428378624,1.0,0.0,1.0,0.0
51,0.6931376716887544,0.6931566895396766,0.6931376716887455,0.6931566895396487,1.0,0.0,1.0,0.0
52,0.6927999968203049,0.6934945090037261,0.6927999968202981,0.6934945090037418,1.0,0.0,1.0,0.0
53,0.6930171400109422,0.6932772414047794,0.6930171400109232,0.6932772414047869,1.0,0.0,1.0,0.0
54,0.6933606067232407,0.692933809043529,0.6933606067232565,0.6929338090435126,0.0,1.0,0.0,1.0
55,0.6925066534459757,0.6937882003826489,0.6925066534459601,0.6937882003826699,1.0,0.0,1.0,0.0
