Date,Normalised,Uncertainty_0_lower,Uncertainty_0_upper,Uncertainty_1_lower,Uncertainty_1_upper,Value,arXiv,match
2005-07-15,65.0 \pm 9.0 km s^-1 Mpc^-1,9.0,9.0,,,65.0,astro-ph/0507381,65 { \pm } 9 km s ^ { -1 } Mpc ^ { -1 } .
2005-07-15,71.0 \pm 3.4999999999999996 km s^-1 Mpc^-1,3.4999999999999996,3.4999999999999996,,,71.0,astro-ph/0507381,71 { \pm } 3.5 km s ^ { -1 } Mpc ^ { -1 }
2005-07-26,74.0 \pm 2.0 km s^-1 Mpc^-1,2.0,2.0,,,74.0,astro-ph/0507583,74 \pm 2 { kms } ^ { -1 } { Mpc } ^ { -1 }
2004-09-17,"60.0 ^ +9.0 _ -6.999999999999999 (random , 1 \sigma) \pm 2.0 (systematic) km s^-1 Mpc^-1",6.999999999999999,9.0,2.0,2.0,60.0,astro-ph/0409444,"60 ^ { +9 } _ { -7 } ( random , 1 \sigma ) \pm 2 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } for a"
2004-09-17,"62.99999999999999 ^ +9.0 _ -6.999999999999999 (random , 1 \sigma) \pm 1.0 (systematic) km s^-1 Mpc^-1",6.999999999999999,9.0,1.0,1.0,62.99999999999999,astro-ph/0409444,"63 ^ { +9 } _ { -7 } ( random , 1 \sigma ) \pm 1 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } for a"
2004-09-17,"64.0 ^ +9.0 _ -6.999999999999999 (random , 1 \sigma) \pm 13.999999999999998 (systematic) km s^-1 Mpc^-1",6.999999999999999,9.0,13.999999999999998,13.999999999999998,64.0,astro-ph/0409444,"64 ^ { +9 } _ { -7 } ( random , 1 \sigma ) \pm 14 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } ."
2002-12-11,68.0 \pm 5.0 \pm 6.0 km s^-1 Mpc^-1,5.0,5.0,6.0,6.0,68.0,astro-ph/0212262,68 \pm 5 \pm 6 km s ^ { -1 } /Mpc .
2002-12-11,71.0 \pm 4.0 \pm 6.0 km s^-1 Mpc^-1,4.0,4.0,6.0,6.0,71.0,astro-ph/0212262,71 \pm 4 \pm 6 km s ^ { -1 } /Mpc .
2002-12-18,64.0 ^ +96.0 _ -30.0 km s^-1 Mpc^-1,30.0,96.0,,,64.0,astro-ph/0212394,64 ^ { +96 } _ { -30 } km s ^ { -1 } Mpc ^ { -1 }
2006-06-06,62.99999999999999 \pm 5.0 km s^-1 Mpc^-1,5.0,5.0,,,62.99999999999999,astro-ph/0606138,63 \pm 5 km s ^ { -1 } Mpc ^ { -1 } .
2006-06-13,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,astro-ph/0606317,72 \pm 8 km s ^ { -1 } Mpc ^ { -1 }
2006-06-13,51.7 ^ +4.0 _ -3.0 km s^-1 Mpc^-1,3.0,4.0,,,51.7,astro-ph/0606317,51.7 ^ { +4.0 } _ { -3.0 } km s ^ { -1 } Mpc ^ { -1 } .
2005-12-13,76.9 ^ +3.9000000000000004 _ -3.4 ^ +10.0 _ -8.0 km s^-1 Mpc^-1,3.4,3.9000000000000004,8.0,10.0,76.9,astro-ph/0512349,76.9 \pm ^ { 3.9 } _ { 3.4 } \pm ^ { 10.0 } _ { 8.0 } km s ^ { -1 } Mpc ^ { -1 }
2005-12-13,73.7 ^ +4.6 _ -3.8 ^ +9.5 _ -7.6 km s^-1 Mpc^-1,3.8,4.6,7.6,9.5,73.7,astro-ph/0512349,73.7 \pm ^ { 4.6 } _ { 3.8 } \pm ^ { 9.5 } _ { 7.6 } km s ^ { -1 } Mpc ^ { -1 }
2005-12-13,77.6 ^ +4.8 _ -4.3 ^ +10.1 _ -8.2 km s^-1 Mpc^-1,4.3,4.8,8.2,10.1,77.6,astro-ph/0512349,77.6 \pm ^ { 4.8 } _ { 4.3 } \pm ^ { 10.1 } _ { 8.2 } km s ^ { -1 } Mpc ^ { -1 }
2000-07-03,70.4 \pm 4.3 km s^-1 Mpc^-1,4.3,4.3,,,70.4,astro-ph/0007022,70.4 \pm 4.3 km/s/Mpc .
2000-07-11,52.0 ^ +13.999999999999998 _ -8.0 km s^-1 Mpc^-1,8.0,13.999999999999998,,,52.0,astro-ph/0007136,52 ^ { +14 } _ { -8 } ~ { } { km } ~ { } { s ^ { -1 } } ~ { } { Mpc ^ { -1 } }
2003-01-14,81.0 \pm 10.0 km s^-1 Mpc^-1,10.0,10.0,,,81.0,astro-ph/0301281,81 \pm 10 km s ^ { -1 } Mpc ^ { -1 }
2006-03-15,72.0 \pm 6.0 (total) km s^-1 Mpc^-1,6.0,6.0,,,72.0,astro-ph/0603392,72 \pm 6 ( total ) km s ^ { -1 } Mpc ^ { -1 } .
2005-08-29,74.0 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,74.0,astro-ph/0508614,74 \pm 4 kms ^ { -1 } Mpc ^ { -1 } and a 1
2005-08-29,65.0 \pm 9.0 km s^-1 Mpc^-1,9.0,9.0,,,65.0,astro-ph/0508614,65 \pm 9 kms ^ { -1 } Mpc ^ { -1 } .
2006-11-07,77.0 \pm 3.0 (random) \pm 5.0 (systematic) km s^-1 Mpc^-1,3.0,3.0,5.0,5.0,77.0,astro-ph/0611231,77 \pm 3 ( random ) \pm 5 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } for the PNLF
2006-11-29,74.0 ^ +4.0 _ -3.4999999999999996 km s^-1 Mpc^-1,3.4999999999999996,4.0,,,74.0,astro-ph/0611934,74 ^ { +4 } _ { -3.5 } km s ^ { -1 } Mpc ^ { -1 }
2001-05-22,70.0 \pm 15.0 km s^-1 Mpc^-1,15.0,15.0,,,70.0,astro-ph/0105384,70 \pm 15 km s ^ { -1 } Mpc ^ { -1 }
2001-05-23,55.99999999999999 ^ +12.0 _ -11.0 km s^-1 Mpc^-1,11.0,12.0,,,55.99999999999999,astro-ph/0105411,56 _ { -11 } ^ { +12 } { km s ^ { -1 } Mpc ^ { -1 } } .
2001-05-28,75.0 ^ +12.0 _ -11.0 km s^-1 Mpc^-1,11.0,12.0,,,75.0,astro-ph/0105490,75 ^ { +12 } _ { -11 } { km s ^ { -1 } Mpc ^ { -1 } }
2007-09-13,71.0 \pm 0.04 km s^-1 Mpc^-1,0.04,0.04,,,71.0,0709.2195,71 \pm 0.04 { km s } ^ { -1 } Mpc ^ { -1 }
2000-08-03,65.0 \pm 2.0 (statistical) km s^-1 Mpc^-1,2.0,2.0,,,65.0,astro-ph/0008057,65 \pm 2 ( statistical ) km s ^ { -1 } Mpc ^ { -1 }
2001-03-02,59.00000000000001 ^ +8.0 _ -6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,8.0,,,59.00000000000001,astro-ph/0103046,59 ^ { +8 } _ { -7 } km s ^ { -1 } Mpc ^ { -1 }
2001-03-02,65.0 ^ +8.0 _ -6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,8.0,,,65.0,astro-ph/0103046,65 ^ { +8 } _ { -7 } km s ^ { -1 } Mpc ^ { -1 } if \Omega _ { M }
2003-02-17,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,astro-ph/0302337,72 \pm 8 km s ^ { -1 } Mpc ^ { -1 } .
2003-02-27,69.0 \pm 12.0 km s^-1 Mpc^-1,12.0,12.0,,,69.0,astro-ph/0302560,69 \pm 12 km s ^ { -1 } Mpc ^ { -1 } .
